WordSequence,Predicate,StartOfDialogueAgent,EndOfDialogueAgent,StartOfDialogue,EndOfDialogue
"['许七安', '有些', '牙疼', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许七安', '声音', '透着急切', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['他', '喃喃道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '自嘲道', ':', '「', '对话', '内容', '」']",,,,,
"['陈府尹', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['陈府尹', '心里', '一动', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['黄裙少女', '抿', '了抿', '唇色', '鲜艳', '的', '嘴', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '喃喃道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '盯', '着', '他', ',', '道', ':', '「', '对话', '内容', '」']",5,0,0,7,10
"['破案', '是', '需要', '时间', '的', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['陈府尹', '问道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['黄裙少女', '脆生生道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '掷地有声', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['陈府尹', '惊呆', '了', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许七安', '解释', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['陈府尹', '急切', '的', '奔出内堂', ',', '道', ':', '「', '对话', '内容', '」']",5,0,0,7,10
"['许七安', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许七安', '钓鱼', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许七安倒背如流', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['许七安', '哀叹', '一', '声', ',', '道', ':', '「', '对话', '内容', '」']",5,0,0,7,10
"['许七安', '急切', '追问', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许二叔', '怀疑', '自己', '听错', '了', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,8,11
"['吏员', '回答', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['吏员', '将', '之前', '拔下来', '的', '八品', '武官绿袍', '奉上', ',', '道', ':', '「', '对话', '内容', '」']",9,0,0,11,14
"['吏员', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['李茹', '喜极而泣', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许平志', '愣住', '了', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['吏员', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['冷不丁的', '听见', '‘嗷', '’', '一声', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '默默', '点头', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许七安别扭极了', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['绿娥', '纳闷', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['许七安问', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['婶婶', '叹', '口气', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许七安道', ':', '「', '对话', '内容', '」']",,,,,
"['婶婶diss', '自己', '丈夫', ',', '道', ':', '「', '对话', '内容', '」']",4,0,2,6,9
"['许新年', '一针见血', '的', '点出', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['婶婶气的', '拍桌子', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['小豆丁', '想起', '了', '自己', '前', '些', '日子', '的', '遭遇', ',', '道', ':', '「', '对话', '内容', '」']",10,0,0,12,15
"['小豆丁', '一', '脸', '邀功', '的', '表情', ',', '道', ':', '「', '对话', '内容', '」']",7,0,0,9,12
"['有人', '兴奋', '的', '喊', '了', '一', '声', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['一', '位', '现场', '操作', '的', '白衣炼金术师', '哀叹', ',', '道', ':', '「', '对话', '内容', '」']",8,0,5,10,13
"['众白衣', '摆出', '虚心', '求教', '的', '姿态', ',', '道', ':', '「', '对话', '内容', '」']",7,0,0,9,12
"['一', '位', '白衣师兄', '感慨', '道', ':', '「', '对话', '内容', '」']",4,0,2,6,9
"['白衣老者', '笑道', ':', '「', '对话', '内容', '」']",,,,,
"['有人', '颤声', '道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '嗑', '着', '瓜子', ',', '道', ':', '「', '对话', '内容', '」']",5,0,0,7,10
"['许七安', '没', '反应', '过来', ',', '道', ':', '「', '对话', '内容', '」']",5,0,0,7,10
"['衙役点明', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安漫不经心', '的问', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['一', '名', '同僚', '啧啧道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安道', ':', '「', '对话', '内容', '」']",,,,,
"['众衙役一愣', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['许七安', '低调', '不', '炫耀', ',', '道', ':', '「', '对话', '内容', '」']",5,0,0,7,10
