WordSequence,Predicate,StartOfDialogueAgent,EndOfDialogueAgent,StartOfDialogue,EndOfDialogue
"['?府尹', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?府尹', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['吏?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['吏?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['王捕?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?探道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?平志', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?二叔', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?新年', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '敷衍道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['王捕?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['宋卿', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['褚采薇', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?新年', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?新年', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['他', '提?', '道', ':', '「', '??', '?容', '」']",1,0,0,4,7
"['?慎', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?慎', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['他', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安沉?', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['正妻沉?', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?玲月', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['李玉春沉?', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['宋廷?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['他', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['??', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['李玉春', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['宋卿', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['宋廷?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['宋廷?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['宋廷?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['李宇春', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['李玉春', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['宋廷?急切', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['宋廷?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['魏?', '喝道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['姜金?沉?', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['魏?', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['魏?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?正', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['宋廷?', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['??沉?', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['南?倩柔', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?探道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['身后', '有人', '?', ':', '「', '??', '?容', '」']",1,0,0,4,7
"['他', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['朱?孝沉?', '道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['李玉春', '?道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?卒', '喝道', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?新年', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['??', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['孩子', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
"['?七安', '?', ':', '「', '??', '?容', '」']",1,0,0,3,6
